  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    4 ?        I<     0:00 [kworker/0:0H]
    6 ?        I<     0:00 [mm_percpu_wq]
    7 ?        S      0:00 [ksoftirqd/0]
    8 ?        I      0:00 [rcu_sched]
    9 ?        I      0:00 [rcu_bh]
   10 ?        S      0:00 [migration/0]
   11 ?        S      0:00 [watchdog/0]
   12 ?        S      0:00 [cpuhp/0]
   13 ?        S      0:00 [cpuhp/1]
   14 ?        S      0:00 [watchdog/1]
   15 ?        S      0:00 [migration/1]
   16 ?        S      0:00 [ksoftirqd/1]
   19 ?        S      0:00 [cpuhp/2]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   23 ?        I      0:00 [kworker/2:0]
   24 ?        I<     0:00 [kworker/2:0H]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [watchdog/3]
   27 ?        S      0:00 [migration/3]
   28 ?        S      0:00 [ksoftirqd/3]
   30 ?        I<     0:00 [kworker/3:0H]
   31 ?        S      0:00 [cpuhp/4]
   32 ?        S      0:00 [watchdog/4]
   33 ?        S      0:00 [migration/4]
   34 ?        S      0:00 [ksoftirqd/4]
   36 ?        I<     0:00 [kworker/4:0H]
   37 ?        S      0:00 [cpuhp/5]
   38 ?        S      0:00 [watchdog/5]
   39 ?        S      0:00 [migration/5]
   40 ?        S      0:00 [ksoftirqd/5]
   43 ?        S      0:00 [cpuhp/6]
   44 ?        S      0:00 [watchdog/6]
   45 ?        S      0:00 [migration/6]
   46 ?        S      0:00 [ksoftirqd/6]
   49 ?        S      0:00 [cpuhp/7]
   50 ?        S      0:00 [watchdog/7]
   51 ?        S      0:00 [migration/7]
   52 ?        S      0:00 [ksoftirqd/7]
   55 ?        S      0:00 [kdevtmpfs]
   56 ?        I<     0:00 [netns]
   57 ?        S      0:00 [rcu_tasks_kthre]
   58 ?        S      0:00 [kauditd]
   59 ?        I      0:00 [kworker/0:1]
   60 ?        I      0:00 [kworker/1:1]
   61 ?        S      0:00 [khungtaskd]
   62 ?        S      0:00 [oom_reaper]
   63 ?        I<     0:00 [writeback]
   64 ?        S      0:00 [kcompactd0]
   65 ?        SN     0:00 [ksmd]
   66 ?        SN     0:00 [khugepaged]
   67 ?        I<     0:00 [crypto]
   68 ?        I<     0:00 [kintegrityd]
   69 ?        I<     0:00 [kblockd]
   70 ?        I      0:00 [kworker/3:1]
   71 ?        I      0:00 [kworker/4:1]
   72 ?        I      0:00 [kworker/5:1]
   73 ?        I      0:00 [kworker/6:1]
   74 ?        I      0:00 [kworker/7:1]
   76 ?        I<     0:00 [ata_sff]
   77 ?        I<     0:00 [md]
   78 ?        I<     0:00 [edac-poller]
   79 ?        I<     0:00 [devfreq_wq]
   80 ?        I<     0:00 [watchdogd]
   83 ?        S      0:00 [kswapd0]
   84 ?        S      0:00 [ecryptfs-kthrea]
  126 ?        I<     0:00 [kthrotld]
  127 ?        I<     0:00 [acpi_thermal_pm]
  131 ?        I<     0:00 [ipv6_addrconf]
  140 ?        I<     0:00 [kstrp]
  157 ?        I<     0:00 [charger_manager]
  158 ?        I      0:00 [kworker/u16:2]
  160 ?        I      0:00 [kworker/5:2]
  216 ?        I<     0:00 [ttm_swap]
  217 ?        S      0:00 [scsi_eh_0]
  218 ?        I<     0:00 [scsi_tmf_0]
  219 ?        S      0:00 [scsi_eh_1]
  220 ?        I<     0:00 [scsi_tmf_1]
  221 ?        S      0:00 [scsi_eh_2]
  222 ?        I<     0:00 [scsi_tmf_2]
  223 ?        S      0:00 [scsi_eh_3]
  224 ?        I<     0:00 [scsi_tmf_3]
  225 ?        S      0:00 [scsi_eh_4]
  226 ?        I<     0:00 [scsi_tmf_4]
  227 ?        S      0:00 [scsi_eh_5]
  228 ?        I<     0:00 [scsi_tmf_5]
  231 ?        I      0:00 [kworker/u16:5]
  233 ?        I<     0:00 [kworker/u17:0]
  234 ?        S      0:00 [i915/signal:0]
  235 ?        S      0:00 [i915/signal:1]
